id,x,y,width,height,metadata,group1,group2
Mega_Land_1,3181.396973,2327.164551,25.0001125,25.0001125,matrix(0.7071046 -0.707109 0.707109 0.7071046 -718.9200439 2943.7104492),Entertainment_District_Mega,Mega_Land
Mega_Land_2,3199.074707,2344.842285,25.0000362,25.0000362,matrix(0.7071068 -0.7071068 0.7071068 0.7071068 -726.2443237 2961.3757324),Entertainment_District_Mega,Mega_Land
Mega_Land_3,3163.719482,2344.842285,24.9998989,24.9998989,matrix(0.7071168 -0.7070968 0.7070968 0.7071168 -736.6078491 2936.3203125),Entertainment_District_Mega,Mega_Land
Mega_Land_4,3181.396973,2362.52002,25.0001125,25.0001125,matrix(0.7071068 -0.7071068 0.7071068 0.7071068 -743.9219971 2954.0537109),Entertainment_District_Mega,Mega_Land
Mega_Land_5,3040.693359,2271.550781,25,25,,Entertainment_District_Mega,Mega_Land
Mega_Land_6,3040.693359,2296.550781,25,25,,Entertainment_District_Mega,Mega_Land
Mega_Land_7,3997.827637,2508.753174,24.9996109,25.0000114,matrix(0.9817696 -0.1900748 0.1900748 0.9817696 -406.1168213 808.2254639),Entertainment_District_Mega,Mega_Land
Mega_Land_8,4359.859375,2207.599365,25.0000439,25.0000153,matrix(0.8074281 -0.5899659 0.5899659 0.8074281 -467.7896118 3007.0717773),Entertainment_District_Mega,Mega_Land
Mega_Land_9,4228.465332,1758.56958,25.0007744,24.9997921,matrix(0.9352095 -0.3540949 0.3540949 0.9352095 -352.352356 1616.4528809),Entertainment_District_Mega,Mega_Land
Mega_Land_10,5035.459473,1881.749268,25.0004883,24.9998093,matrix(0.0531964 -0.9985841 0.9985841 0.0531964 2887.859375 6834.2939453),Entertainment_District_Mega,Mega_Land
Mega_Land_11,3409.709473,2570.932617,24.99967,25.0001087,matrix(0.9998393 -0.0179279 0.0179279 0.9998393 -45.7655487 61.76828),Entertainment_District_Mega,Mega_Land
Mega_Land_12,3615.781738,2335.712402,24.999567,24.9999809,matrix(0.9780447 -0.2083954 0.2083954 0.9780447 -409.6964722 807.6728516),Entertainment_District_Mega,Mega_Land
Mega_Land_13,3473.166992,2692.121094,25.0003204,25.0000267,matrix(0.1934324 -0.9811136 0.9811136 0.1934324 157.8856659 5601.2954102),Entertainment_District_Mega,Mega_Land
Mega_Land_14,3228.526123,2626.913818,25.000021,25.0002556,matrix(0.9987687 -0.0496078 0.0496078 0.9987687 -126.9451981 164.0300293),Entertainment_District_Mega,Mega_Land
Mega_Land_15,3897.319824,2026.973023,24.9995403,25.0003757,matrix(0.5572683 -0.8303325 0.8303325 0.5572683 37.5600891 4149.3896484),Entertainment_District_Mega,Mega_Land
Mega_Land_16,5082.348633,1576.995728,25.0002613,25.0002232,matrix(0.9813817 -0.1920676 0.1920676 0.9813817 -210.4332275 1008.149292),Entertainment_District_Mega,Mega_Land
Mega_Land_17,4997.95752,2012.818237,25.0002098,25.0006809,matrix(0.4433799 -0.8963338 0.8963338 0.4433799 973.5600586 5618.3754883),Entertainment_District_Mega,Mega_Land
Mega_Land_18,5178.144531,2450.567139,25.000988,25.0002995,matrix(0.9999406 -0.0108998 0.0108998 0.9999406 -26.5385647 56.7232513),Entertainment_District_Mega,Mega_Land
Mega_Land_19,4955.992676,826.2478638,25.0009212,25.0001564,matrix(0.0211314 -0.9997767 0.9997767 0.0211314 4024.940918 5788.4077148),Entertainment_District_Mega,Mega_Land
Mega_Land_20,4606.382813,448.2813416,25.0008984,25.0003929,matrix(0.0337206 -0.9994313 0.9994313 0.0337206 4002.6120605 5061.5),Entertainment_District_Mega,Mega_Land
Mega_Land_21,5249.498535,522.9169922,25.0000782,25.0006676,matrix(0.6168698 -0.7870652 0.7870652 0.6168698 1594.6221924 4346.6708984),Entertainment_District_Mega,Mega_Land
Mega_Land_22,5030.172363,1338.342651,25.0006809,25.0002575,matrix(0.0941505 -0.995558 0.995558 0.0941505 3223.0600586 6243.9331055),Entertainment_District_Mega,Mega_Land
Mega_Land_23,4199.423828,2095.462158,24.9999847,25.0000095,matrix(0.0942835 -0.9955454 0.9955454 0.0942835 1716.2368164 6102.3774414),Entertainment_District_Mega,Mega_Land
Mega_Land_24,4979.641602,1030.236939,24.999754,25.0002728,matrix(0.9911457 -0.1327787 0.1327787 0.9911457 -94.2513885 672.0825806),Entertainment_District_Mega,Mega_Land
Mega_Land_25,4427.673828,1044.953857,24.9995079,25.0002575,,Entertainment_District_Mega,Mega_Land
Mega_Land_26,4420.751465,1459.534302,24.9985123,24.999897,matrix(0.8182925 -0.574802 0.574802 0.8182925 -40.5733757 2815.7214355),Entertainment_District_Mega,Mega_Land
Mega_Land_27,4039.631104,2177.897217,25.0004311,24.9998779,matrix(0.9597034 -0.2810147 0.2810147 0.9597034 -452.2469177 1226.9737549),Entertainment_District_Mega,Mega_Land
